model,fail_f1,precision,recall,pr_auc,roc_auc,accuracy,threshold,tn,fp,fn,tp
Model A,0.5351681957186545,0.9020618556701031,0.3804347826086957,0.5322258596880342,0.8648967499240962,0.9720228234861035,0.9,31161,57,855,525
Model B,0.5377405032067094,0.8423493044822257,0.39492753623188404,0.5499919554285874,0.8789309934532382,0.971255905270262,0.9,31116,102,835,545
