model,failures_found_tp,failures_missed_fn,false_alerts_fp,passes_correct_tn,predicted_failures,precision,recall,specificity,false_positive_rate,fail_f1,pr_auc,pr_auc_lift_over_prevalence
Model A,525,855,57,31161,582,0.9020618556701031,0.3804347826086957,0.9981741303094369,0.0018258696905631366,0.5351681957186545,0.5322258596880342,12.572100416022128
Model B,545,835,102,31116,647,0.8423493044822257,0.39492753623188404,0.9967326542379397,0.0032673457620603498,0.5377405032067094,0.5499919554285874,12.991766494971804
